,Rotation Index,Orientation Matrix,wR2,alpha,beta,omega
76,92,"[[-0.28470666889317264, -0.06209755740436141, 0.9671243629404593], [0.9674922607636568, -0.08866226428132848, 0.2802576741064294], [0.06656948971197942, 1.0056028780994486, 0.0856446398846398]]",0.06356361508369446,3.110668750420482e-05,0.0029362137807140516,0.0002739938289140568
77,16,"[[-0.293106432164319, -0.08769346537673085, 0.9626186843592249], [0.30032601655651225, 0.9487749850330394, 0.17959126245537463], [-0.9194533701328393, 0.33916660368269563, -0.24981265361005556]]",0.0480215884745121,0.04184772274150638,-0.01474981496511876,0.010780715645732072
78,61,"[[-0.29855704240210357, -0.09408065343946116, 0.9603374906255056], [0.8660689345195289, 0.4178193437917164, 0.3119213537186221], [-0.4269247487212498, 0.9162226350843826, -0.04226402135113123]]",0.05913940817117691,0.0,0.0,0.0
79,83,"[[-0.3364304463280664, -0.09184787574951034, 0.947953671837149], [0.9490208917457236, 0.05813514489583363, 0.34381958341079133], [-0.08685758003270101, 1.0055189004687166, 0.06790742883842134]]",0.05824233964085579,-0.0038361764514923177,0.014437386252081944,0.015003093018889774
80,11,"[[-0.2891397617944792, -0.08418084152868746, 0.9641322388455824], [0.22729266131286766, 0.9732129870293716, 0.15477781590388837], [-0.9413980733376319, 0.26208701145219865, -0.26033256509957137]]",0.024968545883893967,0.005156466060416986,-0.20314731070077854,-0.04457509551337242
81,84,"[[-0.3030343471267992, -0.08849304365185541, 0.9594667866857083], [0.9616838215082164, 0.04345649602464776, 0.3090804354722877], [-0.06937132197304455, 1.006563492800384, 0.0722430835343819]]",0.04875994473695755,0.002235455656120631,-0.08210040191152397,-0.003638366186521049
82,90,"[[-0.26248818050325856, -0.08957104793888422, 0.9712460428247802], [0.975458377101373, -0.06078542593498509, 0.25919902137891504], [0.034419410376149207, 1.005565746301333, 0.10347322067524428]]",0.06789722293615341,6.600498462469744e-06,0.00017313237794163057,2.4951904583079678e-05
83,15,"[[-0.29379944885365666, -0.09016047757717902, 0.9621800558788125], [0.28858766070914577, 0.9525226719326517, 0.17907564993853117], [-0.9229770798029868, 0.32782818392201857, -0.2518887652412047]]",0.055174894630908966,-0.00530217633517849,0.004080279982155169,-0.0014647599272602013
84,63,"[[-0.3521673995536461, -0.11575412581327328, 0.9395791271134207], [0.8537765596136979, 0.3947488469606336, 0.37039368671701095], [-0.4103419010575598, 0.923900931496235, -0.039217669498658]]",0.05960307642817497,-1.3223198397401428,3.02409426553653,-0.0797332933047832
85,49,"[[-0.34978426147094455, -0.13151005034444077, 0.9383962323204368], [0.7277783108577791, 0.6035894191116762, 0.3577551388212314], [-0.6077439433748484, 0.8007156397340799, -0.1139910899242088]]",0.10627506673336029,-0.14218585943102122,0.04789295064028172,0.020339372060815354
86,66,"[[-0.3480862509705042, -0.11251639261389577, 0.9414879117747952], [0.8792330827337242, 0.33783006706195334, 0.36714900117628935], [-0.3565331028132844, 0.9466033073024914, -0.01784141637423346]]",0.08223892003297806,-5.086263020833341e-07,6.0526529947916655e-05,2.5939941406249996e-05
87,65,"[[-0.32495232708849575, -0.09842811933624143, 0.9512860211933934], [0.8781355987033496, 0.36799617142087904, 0.33974361072602416], [-0.38040337196171825, 0.9368856114096396, -0.03219008954049045]]",0.07443647086620331,-0.008271127709710512,0.0007122878904045349,-0.0015909555259721539
88,85,"[[-0.2714708148250564, -0.0814129694679335, 0.9694917372135451], [0.9724781655337654, 0.024222085564533757, 0.2756409871490181], [-0.04645799820274108, 1.0078177132060748, 0.07295049681586759]]",0.06035540625452995,-0.011479631083608086,0.27106384040605014,0.01889715889969905
89,67,"[[-0.35102618636181065, -0.1120853327616177, 0.9404494238273566], [0.8810692544503405, 0.3299793743156779, 0.3698844241096296], [-0.34905127368838273, 0.9494110833123367, -0.016250723844188537]]",0.14263099431991577,-0.5730800332661639,1.5186592573122155,-0.03422596367512279
90,19,"[[-0.28803890281149924, -0.07410639807452038, 0.9652884008998156], [0.3545072102757609, 0.9299726039504926, 0.17892696374729355], [-0.9015880232660638, 0.3906402039613423, -0.2396955377246336]]",0.18206071853637695,-0.00012296563357321462,0.0005319979884099598,-0.0002399669887943063
91,93,"[[-0.3288948361689864, -0.08407518204204956, 0.9513179467366385], [0.9521246084761879, -0.11625299812613127, 0.3200267892600234], [0.08169397524470495, 1.0011580073207316, 0.11825011945254774]]",0.07301931828260422,0.017833122163750176,0.25414441984303776,0.028619127659198274
92,60,"[[-0.27790663107849656, -0.07556114705939226, 0.9681412757421589], [0.8635863381800843, 0.4420608745038021, 0.28413749412717915], [-0.44555502176198747, 0.9065380367219266, -0.05648818565532052]]",0.07138726860284805,-0.0008643068269241546,0.002305045930273147,0.0042884533215688195
93,30,"[[-0.2957673014658054, -0.09277638274836811, 0.9613282847819102], [0.5097457387579908, 0.839621785498433, 0.23970816098448522], [-0.8210835689105074, 0.5561547751603331, -0.19925903596654657]]",0.051884498447179794,0.002636070022624393,-0.002411094919633648,0.0016576681439152245
94,31,"[[-0.29067869107576133, -0.0787144328786581, 0.9641305309987236], [0.5275898598442185, 0.8315880958893318, 0.2288050295605696], [-0.8115820531979054, 0.5702489341610973, -0.1984067276069757]]",0.11547578126192093,0.0,0.0,0.0
